date,product_id,stock_available,stockout,restock_quantity
2023-01-01,P001,500,False,0
2023-01-01,P002,500,False,0
2023-01-01,P003,500,False,0
2023-01-01,P004,500,False,0
2023-01-01,P005,500,False,0
2023-01-01,P006,500,False,0
2023-01-01,P007,500,False,0
2023-01-01,P008,500,False,0
2023-01-01,P009,500,False,0
2023-01-01,P010,500,False,0
2023-01-01,P011,500,False,0
2023-01-01,P012,500,False,0
2023-01-01,P013,500,False,0
2023-01-01,P014,500,False,0
2023-01-01,P015,500,False,0
2023-01-01,P016,500,False,0
2023-01-01,P017,500,False,0
2023-01-01,P018,500,False,0
2023-01-01,P019,500,False,0
2023-01-01,P020,500,False,0
2023-01-01,P021,500,False,0
2023-01-01,P022,500,False,0
2023-01-01,P023,500,False,0
2023-01-01,P024,500,False,0
2023-01-01,P025,500,False,0
2023-01-01,P026,500,False,0
2023-01-01,P027,500,False,0
2023-01-01,P028,500,False,0
2023-01-01,P029,500,False,0
2023-01-01,P030,500,False,0
2023-01-01,P031,500,False,0
2023-01-01,P032,500,False,0
2023-01-01,P033,500,False,0
2023-01-01,P034,500,False,0
2023-01-01,P035,500,False,0
2023-01-01,P036,500,False,0
2023-01-01,P037,500,False,0
2023-01-01,P038,500,False,0
2023-01-01,P039,500,False,0
2023-01-01,P040,500,False,0
2023-01-02,P001,500,False,0
2023-01-02,P002,496,False,0
2023-01-02,P003,497,False,0
2023-01-02,P004,492,False,0
2023-01-02,P005,500,False,0
2023-01-02,P006,500,False,0
2023-01-02,P007,497,False,0
2023-01-02,P008,498,False,0
2023-01-02,P009,500,False,0
2023-01-02,P010,493,False,0
2023-01-02,P011,500,False,0
2023-01-02,P012,492,False,0
2023-01-02,P013,492,False,0
2023-01-02,P014,497,False,0
2023-01-02,P015,493,False,0
2023-01-02,P016,500,False,0
2023-01-02,P017,495,False,0
2023-01-02,P018,500,False,0
2023-01-02,P019,500,False,0
2023-01-02,P020,500,False,0
2023-01-02,P021,492,False,0
2023-01-02,P022,498,False,0
2023-01-02,P023,500,False,0
2023-01-02,P024,500,False,0
2023-01-02,P025,500,False,0
2023-01-02,P026,492,False,0
2023-01-02,P027,492,False,0
2023-01-02,P028,499,False,0
2023-01-02,P029,500,False,0
2023-01-02,P030,495,False,0
2023-01-02,P031,492,False,0
2023-01-02,P032,500,False,0
2023-01-02,P033,491,False,0
2023-01-02,P034,496,False,0
2023-01-02,P035,494,False,0
2023-01-02,P036,499,False,0
2023-01-02,P037,490,False,0
2023-01-02,P038,497,False,0
2023-01-02,P039,494,False,0
2023-01-02,P040,496,False,0
2023-01-03,P001,500,False,0
2023-01-03,P002,480,False,0
2023-01-03,P003,497,False,0
2023-01-03,P004,488,False,0
2023-01-03,P005,500,False,0
2023-01-03,P006,494,False,0
2023-01-03,P007,494,False,0
2023-01-03,P008,495,False,0
2023-01-03,P009,495,False,0
2023-01-03,P010,491,False,0
2023-01-03,P011,496,False,0
2023-01-03,P012,491,False,0
2023-01-03,P013,492,False,0
2023-01-03,P014,491,False,0
